model,age_year,shutter_count,condition,has_box,price_used
Sony A7RV,0,98428,fair,1,80890
Sony A6000,5,94957,good,0,8100
Sony FX30,0,3658,very_good,0,49900
Sony A1,2,65434,fair,1,90690
Sony FX2,0,2925,very_good,0,78090
Sony A6400,1,33437,good,0,16890
Sony A7,7,3446,excellent,0,8000
Sony A9III,3,12815,good,0,125490
Sony A7RV,2,97274,fair,1,81900
Sony A7RIII,3,47767,very_good,0,27990
Sony FX30,2,1746,excellent,0,50600
Sony A6600,0,375304,fair,0,21290
Sony A7V,1,4947,very_good,1,80600
Sony A9II,7,70036,fair,1,70500
Sony A7IV,4,84086,fair,1,41090
Sony A6600,4,3710,very_good,0,25290
Sony A7SIII,1,1092,excellent,0,59600
Sony RX100VII,5,1335,excellent,0,32490
Sony A9,5,5751,good,0,31100
Sony ZV1F,3,1745,very_good,1,9700
Sony A6400,2,7876,good,1,14900
Sony A9III,2,82851,fair,0,128100
Sony A9,4,15535,good,1,32090
Sony A5000,2,7842,very_good,1,5200
Sony A7III,0,4641,very_good,1,30090
Sony ZV1,6,628,very_good,1,15800
Sony A7RIII,2,29154,good,1,25200
Sony A7SIII,2,2718,very_good,0,54990
Sony A7S,12,2838,very_good,1,9200
Sony A1II,0,17611,good,0,167190
Sony RX100VII,6,796,excellent,0,28590
Sony FX2,0,2709,very_good,0,83990
Sony A1,2,/,good,1,90400
Sony A7RIV,0,25544,very_good,0,39900
Sony A7RII,2,211360,fair,1,15800
Sony A6500,0,77302,good,0,15100
Sony A5000,12,2128,excellent,1,5290
Sony A7,13,46356,good,0,7100
Sony A5000,8,3238,very_good,0,4800
Sony FX3,,2944,very_good,0,114090
Sony A1,3,77403,good,1,88600
Sony A6600,2,57349,fair,1,21290
Sony A9,4,50895,fair,1,31200
Sony A6300,7,196322,fair,0,10500
Sony FX2,0,1488,excellent,0,77300
Sony A1II,0,11196,excellent,0,187800
Sony ZV1,5,1122,very_good,1,15300
Sony ZV E10II,2,19864,good,0,28900
Sony A6600,4,40254,very_good,0,23800
Sony A5100,2,99024,fair,0,5900
Sony FX2,1,2908,excellent,1,76000
Sony FX30,4,1072,excellent,0,51800
Sony A7V,1,14601,very_good,1,75290
Sony ZV1,1,739,very_good,1,14790
Sony A7R,8,4415,very_good,1,10390
Sony A6100,0,26803,good,0,14700
Sony A6500,6,56840,fair,0,15400
Sony A7RIV,1,117170,fair,1,38690
Sony ZV1,4,1154,very_good,0,14200
Sony A9,5,74010,good,1,31890
Sony A7RIV,5,152889,poor,0,38100
Sony A7RIII,0,9496,good,0,26500
Sony A7RV,2,8800,good,0,82590
Sony A7RIV,6,51071,good,1,38090
Sony FX2,0,3362,very_good,1,75000
Sony FX30,4,2776,excellent,0,48290
Sony A7RIV,6,18444,very_good,1,44890
Sony A7III,6,2556,excellent,1,25600
Sony ZV1,3,1424,excellent,0,14090
Sony A7SIII,5,3255,excellent,1,60690
Sony A6400,5,18333,good,0,16700
Sony A6700,1,8296,very_good,1,39800
Sony A7III,1,51079,/,0,21100
Sony A7,1,4598,very_good,0,8200
Sony A1II,2,3801,very_good,0,186400
Sony A7,5,58200,fair,0,6300
Sony A7III,4,50536,fair,0,21300
Sony A5000,6,166986,poor,0,4000
Sony A7R,7,94466,fair,0,8290
Sony A9III,2,23159,very_good,1,142300
Sony A7V,1,996,excellent,1,83290
Sony A9II,3,51120,good,0,71890
Sony A7V,1,15775,good,1,77490
Sony A6400,6,61576,fair,0,14700
Sony A7SII,1,151974,poor,1,16690
Sony A7RIII,2,6128,very_good,1,31790
Sony RX100VII,1,559,excellent,1,28900
Sony RX100VII,6,366,very_good,1,32200
Sony A7S,6,13771,good,1,8090
Sony ZV E10,0,438,very_good,1,16490
Sony A9,6,43584,very_good,1,32890
Sony A1,4,256822,fair,1,90800
Sony A1II,0,18435,excellent,1,187490
Sony A6700,0,79523,fair,0,38990
Sony A7SIII,5,2476,very_good,1,57100
Sony A7R,5,74392,good,1,8900
Sony A7,0,687,very_good,1,8000
Sony A6000,7,83512,fair,0,7590
Sony A6400,3,147357,good,0,16400
Sony A7S,6,164528,poor,0,6700
Sony A6600,6,23902,good,1,21890
Sony A7SIII,4,3695,excellent,1,57690
Sony A6700,1,268727,poor,0,38190
Sony A9II,4,6635,very_good,1,77690
Sony A7,1,7183,good,1,7600
Sony A1II,2,6649,very_good,1,183490
Sony ZV1,6,854,excellent,0,14600
Sony A7SII,10,30325,good,0,18600
Sony ZV1,0,1957,very_good,1,14200
Sony ZV1,2,1264,excellent,0,14800
Sony A6500,7,84511,fair,0,15400
Sony ZV E10,1,6070,good,1,15600
Sony ZV E10,5,14843,good,0,15700
Sony A6400,4,127873,fair,0,14390
Sony ZV E10II,1,13374,good,1,28400
Sony A7RIV,1,327,excellent,0,39890
Sony ZV E10II,2,4856,excellent,0,31100
Sony ZV E10,1,15631,good,0,15690
Sony ZV E10II,0,14829,??,1,29900
Sony A5000,1,66595,fair,1,4300
A6400,7,90149,fair,0,70590
Sony A7V,0,8876,good,1,76500
Sony ZV1,0,430,very_good,1,15200
Sony A7SII,9,188906,poor,1,16190
Sony A1II,1,5409,good,0,166500
Sony A7S,3,8163,very_good,1,9100
Sony A7RII,8,397,very_good,0,21690
Sony FX3,0,1260,very_good,0,109200
Sony A7RIII,5,16117,good,0,26800
Sony ZV E10,0,3569,excellent,0,18490
Sony A6600,3,141165,fair,1,21300
Sony A1II,1,4614,excellent,1,195500
Sony ZV E10II,1,9496,very_good,1,29390
Sony A7III,2,79422,fair,1,21090
Sony ZV E10,4,11954,very_good,0,17300
Sony A7V,1,5484,very_good,0,75500
Sony FX2,1,2717,very_good,1,83500
Sony A5000,4,260012,fair,0,4300
Sony A1,5,35859,good,1,87400
Sony FX30,2,1875,excellent,1,48190
Sony A5100,12,43907,very_good,1,8490
Sony A6100,5,8414,good,0,14400
Sony A5000,7,40945,very_good,0,5090
Sony A7III,1,86332,good,0,24890
Sony ZV1,6,unknown,excellent,0,13700
Sony ZV1F,0,856,very_good,1,10200
Sony RX100VII,6,1001,very_good,0,31600
Sony A6700,3,26958,very_good,0,40900
Sony A1II,0,19813,very_good,1,173390
Sony A7,1,59081,fair,0,6490
Sony A9III,0,179996,poor,1,130400
Sony A1,0,209464,poor,1,89000
Sony A6700,1,unknown,fair,1,37290
Sony A9III,3,6578,good,1,125900
Sony A6400,2,84972,fair,0,14390
Sony FX30,4,1216,excellent,0,50000
Sony FX30,1,1077,very_good,1,50290
Sony FX30,4,2312,very_good,0,48700
Sony A7S,6,8749,good,0,7590
Sony A7,2,1568,excellent,0,8100
Sony A7V,0,990,good,1,77690
Sony A7V,1,12404,excellent,0,75490
Sony FX3,3,1471,very_good,1,102600
Sony A5100,6,12440,good,0,6900
Sony A6700,2,68455,good,0,36400
Sony A7R,12,7042,good,1,8400
Sony A6100,7,4210,very_good,0,18500
Sony A7R,11,19166,good,0,8400
Sony A7RII,9,51720,fair,1,16300
Sony A7V,1,7001,very_good,0,87490
Sony ZV E10II,0,413,excellent,1,31000
Sony A6400,1,98029,fair,1,14490
Sony A7S,12,102210,good,1,7500
Sony A5100,12,5962,very_good,1,7400
Sony RX100VII,5,175,very_good,0,30400
Sony A9II,1,249186,poor,0,67690
Sony A6700,0,9437,very_good,1,42100
Sony A5100,11,90538,fair,0,6200
Sony A6100,5,63330,fair,1,13700
Sony A6000,11,4653,very_good,1,9290
Sony A6400,0,329573,poor,0,13600
Sony A7RIV,1,22678,very_good,1,42300
Sony A6500,7,5683,very_good,0,17500
Sony ZV1F,0,1380,very_good,0,10290
Sony A7V,0,4279,excellent,1,86800
Sony A6500,10,955,very_good,1,17600
Sony A5000,7,66112,good,0,4400
Sony A7RV,4,1782,excellent,0,93990
Sony FX3,2,2455,very_good,0,110100
Sony A6000,0,9676,good,1,8000
Sony FX30,1,1603,very_good,1,46590
Sony A7,0,9266,very_good,0,8290
Sony A6300,5,7894,good,1,11190
Sony A7RV,1,791,very_good,0,88390
Sony A7RII,3,53452,fair,0,15990
Sony A6300,5,1987,excellent,1,12190
Sony A7II,3,3687,very_good,0,12590
Sony A5100,2,126526,good,0,7190
Sony A7RIV,7,6200,very_good,1,45500
Sony A7,2,35124,good,1,7490
Sony A7II,8,2534,very_good,1,11500
Sony FX3,4,3002,excellent,0,114500
Sony A9,8,78012,fair,1,31200
Sony A7SIII,4,2642,excellent,1,56400
Sony A7RII,4,59425,good,0,18690
Sony A6400,4,56081,good,1,16000
Sony ZV E10,3,13500,good,1,16090
Sony ZV1F,1,643,excellent,0,9990
Sony A6500,1,727,excellent,1,16200
Sony A7SIII,1,3890,excellent,1,64000
Sony A7RIV,4,205856,poor,0,38400
Sony FX3,1,2628,excellent,1,105600
Sony ZV E10,5,15219,good,0,16090
Sony A9III,1,83196,good,0,125700
Sony A5000,7,192972,poor,1,4000
Sony A5100,9,28236,very_good,1,8600
Sony A9II,1,34685,good,1,71800
Sony A7R,1,33283,very_good,0,10700
Sony A6300,6,3918,very_good,0,12890
Sony A5000,2,63852,fair,1,4290
Sony A6300,6,154127,fair,1,10690
Sony A7RIV,3,99762,fair,0,38390
Sony A9II,3,84609,fair,0,70700
Sony ZV E10,2,9846,good,0,15900
Sony A7S,,70008,fair,0,7190
Sony A6000,3,141400,fair,0,7600
Sony A9III,0,310031,fair,1,130200
Sony A7RIII,3,70577,good,1,23700
Sony A9II,3,11407,good,1,71800
Sony ZV E10,0,2804,excellent,1,18100
Sony A7R,2,259118,fair,1,8090
Sony A5000,10,7319,good,0,4300
Sony A6100,1,50412,fair,1,13790
Sony A1II,0,6653,excellent,0,170590
Sony A7II,10,38910,very_good,0,12600
Sony A9III,0,184588,fair,1,129000
Sony A7SII,3,5398,very_good,0,19600
Sony ZV E10,1,2263,very_good,0,17990
Sony A7RIV,7,126689,good,1,37790
Sony A6700,2,5309,good,1,36290
Sony A7SII,8,11742,very_good,0,19600
Sony ZV1,6,598,excellent,1,13790
Sony A9,3,41203,good,1,31890
Sony A6000,8,64380,fair,1,7590
Sony A7RII,8,4168,excellent,1,20790
Sony A5000,1,118346,good,0,4300
Sony A7S,9,36787,very_good,1,8700
Sony A7II,3,89410,good,0,10200
Sony ZV E10II,0,11882,good,1,28400
Sony A7,13,226353,fair,0,6600
Sony FX30,1,3264,excellent,1,46100
Sony ZV E10II,0,11019,very_good,0,32590
Sony FX3,5,3971,very_good,1,110300
Sony RX100VII,4,1412,excellent,0,30090
Sony A7R,3,43457,good,1,8800
Sony A9,6,41765,good,0,30600
Sony ZV E10,5,4928,very_good,0,16800
Sony A6400,6,86829,good,1,15990
Sony ZV1,2,1516,very_good,1,14700
Sony A9III,0,9481,good,0,126490
Sony A7RIV,0,228902,fair,1,38600
Sony A7IV,5,33121,good,1,42090
Sony A6600,7,37862,very_good,0,24600
Sony A9III,3,91844,good,1,126490
Sony A6600,4,586,excellent,0,25700
Sony A7SIII,6,1029,excellent,0,55300
Sony FX2,1,2990,very_good,1,81900
Sony A7RV,2,194689,poor,1,80590
Sony A6500,0,62665,good,1,14990
Sony ZV1F,4,1505,very_good,0,10100
Sony A1II,0,10766,good,1,167600
Sony ZV1,3,1448,excellent,0,15390
Sony FX2,0,1523,very_good,1,82490
Sony A6600,7,41575,very_good,0,24600
Sony A5100,2,185590,poor,1,5790
Sony A6600,2,266080,poor,0,20000
Sony A7RV,3,294764,poor,1,81600
Sony A7RIII,1,1924,excellent,0,28800
Sony A1II,0,10368,very_good,0,187390
Sony A9,6,57844,good,0,31500
Sony A5000,8,182818,fair,0,4390
Sony ZV E10,1,19808,good,0,15600
Sony FX3,5,1505,very_good,1,119300
Sony A7IV,5,115417,fair,0,40900
Sony A7S,7,49203,very_good,1,9400
Sony ZV E10II,1,12924,good,1,28200
Sony A9II,1,9609,very_good,1,88900
Sony A6700,3,48152,very_good,0,37800
Sony A6500,10,29346,good,0,15300
Sony A1,3,959,excellent,1,106600
Sony A9II,3,4046,very_good,0,84000
Sony A6400,7,270475,poor,1,13200
Sony A6600,1,8451,very_good,1,23800
Sony A6500,9,8032,good,1,15090
Sony FX30,1,2660,excellent,1,47200
Sony FX30,0,1849,excellent,0,45500
Sony ZV1F,-,351,excellent,0,9590
Sony A7RIII,0,2143,very_good,1,28900
Sony A7RIV,0,236168,poor,1,38100
Sony A1,4,37504,very_good,0,101590
Sony A7RIV,3,257848,fair,1,37990
Sony A7RIII,4,31406,good,1,25100
Sony A7RII,1,45310,very_good,0,21100
Sony A7,5,356836,poor,0,6000
Sony FX30,0,3801,very_good,1,44600
Sony A7SIII,1,1924,very_good,0,54590
Sony A6600,2,50180,fair,1,21090
Sony A6500,0,6482,very_good,1,16200
Sony A6700,2,8514,very_good,1,40790
Sony A1II,2,8262,good,0,168300
Sony ZV E10,4,9498,good,0,16000
Sony A6400,4,50991,good,0,16190
Sony A6100,1,82634,fair,1,14190
Sony RX100VII,1,930,excellent,0,31000
Sony FX30,2,2000,excellent,0,48800
Sony A1II,0,16932,very_good,1,198600
Sony A6600,5,165474,fair,1,21100
Sony A9II,3,268551,fair,1,71100
Sony A5000,9,49105,/,0,4390
Sony A5000,1,35892,very_good,1,5100
Sony A5000,2,42785,very_good,1,5190
Sony FX30,2,1445,very_good,0,49200
Sony ZV1,0,835,excellent,0,13890
Sony A7RV,0,3360,very_good,0,99400
Sony RX100VII,2,765,very_good,1,30400
Sony A6500,0,5738,very_good,1,17490
Sony A5000,6,46991,good,0,4300
Sony A7SIII,6,1471,very_good,1,63990
Sony A6500,8,34729,very_good,0,15990
Sony A7,6,3370,excellent,1,8890
Sony A7RV,3,76828,fair,1,81490
Sony A1,5,51922,good,1,87790
Sony ZV E10II,1,19974,very_good,1,31190
Sony A7RIV,1,323,excellent,1,41300
Sony A7SIII,1,3393,very_good,0,55290
Sony A7II,3,22928,very_good,1,12900
Sony A7II,8,15742,very_good,1,11400
Sony ZV1F,0,1965,very_good,0,9400
Sony A7SIII,5,1528,very_good,0,54800
Sony FX30,4,1307,excellent,1,47500
Sony A7SIII,1,1753,excellent,0,55990
Sony FX2,1,2242,excellent,0,76090
Sony A6000,8,740,excellent,0,9890
Sony A6100,3,155043,fair,1,13790
Sony A7RIII,2,90148,fair,0,21890
Sony A7SIII,1,2048,excellent,0,59600
Sony A7RIII,9,67958,good,1,24690
Sony A7SII,11,58318,good,0,19490
Sony A7S,3,33646,good,0,7290
Sony A7II,1,7086,very_good,1,11900
Sony FX2,0,3976,excellent,0,79990
Sony A5000,12,111466,good,0,4490
Sony A5000,12,5644,very_good,1,4800
Sony A7RV,3,1015,very_good,0,94490
Sony A7IV,0,64432,good,0,41390
Sony A7,5,39607,good,0,7400
Sony A6600,3,4717,very_good,1,24090
Sony A7,2,53888,good,1,7490
Sony A6500,4,273468,poor,0,15700
Sony A7,,51976,good,1,7100
Sony ZV1,5,670,excellent,0,13700
Sony A7V,1,13988,very_good,1,83900
Sony A7III,6,75156,fair,1,20300
Sony A9III,1,40827,good,0,125100
Sony ZV E10II,0,3709,excellent,0,33590
Sony A7,13,210382,fair,0,6490
Sony A7,6,65667,fair,0,6390
Sony A7R,0,2414,excellent,1,9890
Sony A7S,7,79133,fair,1,7000
Sony A6600,2,626,excellent,1,25890
Sony A7RIII,9,39794,good,0,26990
Sony A7RII,6,38692,good,0,17000
Sony A7V,1,12567,excellent,1,75490
Sony A6500,1,9982,good,0,14990
Sony A5000,12,149215,good,1,4590
Sony A6000,9,226827,fair,1,7490
Sony A7IV,3,51218,fair,0,41200
Sony FX3,0,3056,excellent,1,101900
Sony A7R,2,20322,very_good,0,10990
Sony A7R,8,89788,fair,1,8190
Sony ZV1,0,1924,very_good,0,14100
Sony RX100VII,1,1748,excellent,0,28700
Sony ZV E10,2,5661,good,1,15690
Sony A6300,2,70390,fair,1,10600
Sony RX100VII,0,844,very_good,0,29900
Sony FX3,4,2284,very_good,1,103000
Sony A6000,9,114957,good,0,8200
Sony A9,2,19565,very_good,0,34500
Sony ZV E10,5,17634,good,0,15690
Sony ZV1,1,922,very_good,1,13790
Sony ZV E10II,0,9221,good,1,28290
Sony A7RII,5,88784,fair,1,15800
Sony A6100,3,298866,poor,0,13200
Sony A7SIII,3,1334,very_good,1,62800
Sony A7RIII,2,124232,fair,0,21800
Sony A9III,3,31061,good,1,125600
Sony A7II,1,85823,good,1,10200
Sony ZV E10,1,16465,good,1,15600
Sony A5000,7,132956,fair,0,4200
Sony A7II,6,31771,good,0,10190
Sony A1II,0,9994,very_good,1,185100
Sony A9III,2,81102,fair,0,130000
Sony ZV1,2,462,excellent,1,14890
Sony A6500,1,127213,good,1,15100
Sony FX30,0,3594,very_good,1,48000
Sony A7SII,7,25007,very_good,1,22500
Sony A9II,0,158703,poor,1,67900
Sony A7III,0,208673,fair,1,18990
Sony A7R,9,331697,poor,0,7600
Sony A9,2,51697,good,0,31390
Sony A9II,4,141694,fair,1,70590
Sony A7,0,81260,good,0,7390
Sony A1,1,3733,very_good,1,94000
Sony A6100,4,2455,excellent,0,17500
Sony A6600,1,4392,excellent,1,24100
Sony A6500,7,64230,good,0,15100
Sony A7V,1,5379,excellent,0,78700
Sony A1,3,378642,fair,0,90200
Sony A5100,8,8484,very_good,0,7690
Sony A6700,1,2173,very_good,0,38290
Sony A7IV,3,74985,fair,0,41190
Sony A7II,10,288061,poor,1,9390
Sony A7RII,11,68478,fair,1,16390
Sony A9,6,5882,good,1,32100
Sony FX3,2,3403,very_good,1,106700
Sony A6600,2,212561,fair,1,21190
Sony A7V,0,415,very_good,0,83800
Sony A7V,0,18503,excellent,0,79800
Sony A7,5,3489,excellent,1,59900
Sony A7V,0,6559,excellent,1,85300
Sony A6600,7,5455,good,0,22090
Sony A7IV,1,205594,fair,0,41300
Sony A5100,1,64405,fair,1,5900
Sony A7V,1,1642,very_good,1,78600
Sony A1II,2,3466,excellent,0,176700
Sony ZV1,1,448,excellent,1,14000
Sony A6100,4,111292,good,1,14290
Sony A9,4,28056,good,0,30890
Sony ZV1F,0,1168,excellent,1,10200
Sony ZV E10II,0,3108,very_good,1,32800
Sony A7RII,11,8203,very_good,1,19400
Sony RX100VII,1,797,excellent,1,32000
Sony ZV E10,5,5146,very_good,1,18790
Sony FX3,1,2639,excellent,1,102700
Sony ZV E10,0,3711,excellent,1,16100
Sony FX2,1,2441,very_good,1,73800
Sony A7,6,76574,fair,0,6390
Sony A9,6,3203,very_good,1,33390
Sony A6100,3,157561,fair,1,13790
Sony FX30,0,2128,excellent,1,51000
Sony A6500,3,45162,good,1,14900
Sony A7IV,5,3132,very_good,0,50800
Sony A6300,2,7558,very_good,1,13400
Sony A7S,4,144754,good,0,7700
Sony A7III,7,384,very_good,0,29300
Sony A6500,1,53997,fair,1,15390
Sony A1II,1,544,very_good,1,179090
Sony FX2,0,1605,very_good,0,83200
Sony A5100,3,66455,fair,1,5990
Sony FX30,3,3158,excellent,1,46200
A7III,2,15387,good,1,126490
Sony A6600,0,99853,good,1,22590
Sony RX100VII,4,232,very_good,1,28090
Sony RX100VII,4,110,very_good,0,29700
Sony A1,2,75797,good,0,90700
Sony A6400,4,7852,good,1,15300
Sony A6500,4,256510,poor,1,15100
Sony A7II,4,9181,very_good,1,11690
Sony ZV1,0,383,very_good,1,15200
Sony ZV1,3,961,very_good,0,14600
Sony A6700,2,86064,fair,1,39000
Sony A9II,2,10780,good,1,76100
Sony A6100,4,270362,fair,1,13890
Sony A7RV,0,9678,very_good,1,95500
Sony A7,4,10845,good,0,7390
Sony A6600,1,1797,very_good,1,23800
Sony A7RIV,6,34123,very_good,1,44800
Sony A7,10,2421,excellent,0,7900
Sony A7IV,2,87170,fair,1,41090
Sony A9III,3,4743,very_good,1,129390
Sony ZV1F,0,1959,very_good,1,10800
Sony A7R,5,75956,good,1,8700
Sony A7,5,83812,fair,0,6500
Sony A7RIV,6,8025,good,0,38900
Sony A7V,1,19252,good,0,75290
Sony A6500,10,7905,good,0,15200
Sony A9,6,116233,fair,0,31300
Sony A1II,2,1065,excellent,1,179600
Sony A7II,3,7268,good,1,10100
Sony A5100,10,125219,good,0,6490
Sony A9III,0,99438,fair,1,133590
Sony A6700,0,91981,fair,0,36600
Sony A6600,7,9954,good,1,21600
Sony A1,0,141382,fair,1,90500
Sony A6100,1,44478,very_good,0,15800
Sony A6100,2,5500,very_good,0,16490
Sony A9III,0,225507,fair,0,132790
Sony A7SII,10,72599,fair,0,17400
Sony A5100,12,35712,good,1,7000
Sony A9,2,65945,good,1,30890
Sony A7RV,3,162434,fair,1,/
Sony A5000,11,1031,excellent,1,4700
Sony A1,4,42013,good,0,87590
Sony A7RIII,8,5948,very_good,1,29390
Sony A7III,8,183586,fair,1,19000
Sony A7RII,2,236575,fair,0,16000
Sony A7,0,283066,poor,0,6200
Sony A6000,4,6394,good,1,8390
Sony A5100,6,15821,very_good,1,7690
Sony A7RIV,0,55587,good,1,38900
Sony A7RII,0,91465,fair,0,16500
Sony A9,4,240184,poor,1,30500
Sony ZV E10,5,7906,very_good,1,18690
Sony FX30,2,2382,very_good,1,44490
Sony A5000,1,96609,fair,1,4300
Sony ZV1F,0,1055,excellent,0,10800
Sony A6400,4,244558,poor,1,13600
Sony RX100VII,2,565,excellent,0,28700
Sony A6000,2,67712,fair,0,7400
Sony A5100,10,192624,fair,0,6190
Sony FX3,0,1970,excellent,1,107390
Sony ZV1,2,393,excellent,1,14300
Sony A1II,1,9735,good,1,165790
Sony A5100,1,51039,fair,0,6390
Sony A6400,-,158872,poor,0,13490
Sony FX2,1,2298,very_good,0,74700
Sony A1II,0,15036,very_good,0,192490
Sony A9III,2,9282,very_good,0,147100
Sony A9III,1,26420,very_good,0,144000
Sony A7IV,2,20683,good,1,42800
Sony ZV E10,0,5564,very_good,1,17300
Sony A6000,6,2835,excellent,1,8600
Sony A6700,3,41645,good,1,36200
Sony A6000,1,56525,fair,1,7600
Sony ZV E10II,2,4510,excellent,0,32600
Sony A1II,2,14961,very_good,1,179690
Sony A7RIV,7,83941,fair,0,38390
Sony A7RII,6,85384,fair,0,15890
Sony RX100VII,7,558,excellent,0,29400
Sony A7SIII,1,1393,excellent,0,59700
Sony A6000,8,35576,very_good,1,9100
Sony ZV1,5,1011,excellent,0,15590
Sony ZV1,3,638,excellent,0,15600
Sony A6400,3,52875,good,0,15990
Sony ZV1,0,1544,very_good,0,14000
Sony A6700,3,157726,fair,0,38590
Sony A6700,1,21627,very_good,0,36590
Sony A9III,2,92709,good,0,126100
Sony A7SII,4,74254,fair,1,17200
Sony A6600,4,68611,fair,0,21000
Sony A6600,5,26784,good,1,23400
Sony A7IV,2,63609,good,,43490
Sony ZV1F,3,916,very_good,0,10890
Sony A6000,4,39007,very_good,0,9200
Sony FX30,0,3958,excellent,1,50490
Sony A6300,10,3548,very_good,1,12600
Sony A7R,5,38261,very_good,0,10990
Sony A9II,7,4738,very_good,0,77700
Sony A6600,6,27195,good,1,23490
Sony FX30,4,1621,excellent,0,49800
Sony A7V,1,16888,good,0,77790
Sony ZV E10II,1,9643,good,1,28200
Sony FX30,4,2001,very_good,1,44200
Sony FX30,0,2852,excellent,0,48690
Sony ZV E10II,2,3670,very_good,0,30600
Sony A7R,3,228401,fair,1,7900
Sony RX100VII,-,943,very_good,0,31600
Sony A9III,0,3527,very_good,0,138890
Sony ZV E10II,2,18279,very_good,0,33600
Sony A5000,2,25922,very_good,0,4800
Sony RX100VII,2,1382,very_good,1,28700
Sony A7IV,0,48564,good,1,43200
Sony A7IV,4,90478,fair,1,41190
Sony A6700,1,72111,good,1,36390
Sony A7RIV,3,1637,very_good,1,41390
Sony A1,5,39626,good,1,89400
Sony ZV1,4,1593,very_good,1,14400
Sony A7,1,46698,very_good,1,8090
Sony A7SIII,6,3522,very_good,0,56490
Sony A7,2,104,very_good,0,7800
Sony ZV E10II,1,10014,very_good,1,30190
Sony A7RIV,5,89348,good,1,38900
Sony ZV1,4,1004,very_good,0,15290
Sony A1,1,6091,good,1,90090
Sony A7II,6,11398,very_good,0,11900
Sony A6500,5,231804,fair,1,15290
Sony A6000,11,45936,very_good,1,9900
Sony A7S,7,94875,good,0,7290
Sony A6700,0,25653,very_good,1,39300
Sony FX30,2,1795,excellent,1,46700
Sony A1II,2,564,good,0,167400
Sony FX3,1,3985,very_good,1,103000
Sony FX3,3,1708,excellent,0,107100
Sony A6400,7,1583,excellent,0,19190
Sony A5000,3,70338,good,1,4600
Sony A6700,2,4803,excellent,1,38300
Sony A7II,4,146428,fair,0,9500บาท
Sony A1II,1,17239,very_good,0,194900
Sony A9,2,37611,good,1,31200
Sony FX3,4,2101,excellent,0,110790
Sony A6000,1,92721,good,1,8000
Sony A9,9,184507,fair,0,30900
Sony ZV E10II,1,11132,very_good,0,29990
Sony A7S,12,7578,good,0,7800
Sony A1II,2,11171,very_good,0,190490
Sony ZV1,6,651,very_good,0,14990
Sony FX2,0,3326,excellent,0,73990
Sony A7,12,61903,good,0,7200
Sony A7RIV,1,3431,very_good,1,39690
Sony A7R,5,9108,good,1,9000
Sony A7III,1,51727,good,1,23290
Sony A9II,1,97802,good,0,72500
Sony A7RV,4,260056,poor,0,82600
Sony A6000,3,22170,good,0,7990
Sony A9,7,7009,very_good,0,33200
Sony A6400,5,23291,good,1,16590
Sony FX3,3,3811,very_good,1,101700
Sony A6100,4,93115,good,1,15100
Sony ZV E10II,2,11079,good,1,28290
Sony A6400,2,9769,good,1,15200
Sony ZV E10,2,1405,excellent,0,18500
Sony ZV1,2,1482,very_good,1,15390
Sony A1,3,5418,good,1,89500
Sony A9II,3,8865,very_good,1,79190
Sony A1,3,41994,good,0,87290
Sony A6500,6,20323,good,1,15300
Sony A7S,11,1398,/,1,9400
Sony FX3,4,1998,excellent,1,108200
Sony A7S,4,15995,good,1,7900
Sony A7RII,0,96142,good,1,17200
Sony A7SII,0,38974,very_good,1,21700
Sony A7RV,4,83093,good,1,82190
Sony RX100VII,3,1190,excellent,0,31390
Sony RX100VII,5,270,excellent,1,31700
Sony A7V,1,15415,excellent,1,76800
Sony A5100,12,245867,poor,0,5890
Sony A6600,1,37696,very_good,0,26190
Sony A9III,2,64811,fair,0,132190
Sony FX30,4,2606,excellent,1,50800
Sony ZV1F,1,1992,excellent,1,9990
Sony A7S,10,200493,poor,0,6800
Sony FX3,0,3455,very_good,0,118490
Sony ZV E10II,2,3080,very_good,1,29000
Sony A7R,7,41367,very_good,0,10100
Sony A7IV,0,154265,poor,1,39800
Sony A7S,7,24569,good,0,7900
Sony A6300,0,99394,fair,1,10600
Sony A9III,2,240860,fair,0,128000
Sony A6100,4,290093,fair,1,13800
Sony A6600,1,4400,excellent,1,26790
Sony ZV E10II,0,8767,very_good,1,30600
Sony A7III,4,68284,fair,1,21000
Sony A6700,1,13400,very_good,1,42100
Sony A7R,9,72296,fair,0,8290
Sony A7IV,3,3834,excellent,0,51700
Sony A1II,2,16765,good,1,169400
Sony A7,9,182390,poor,0,6100
Sony ZV E10II,1,566,excellent,0,30690
Sony A6600,3,70204,good,0,23400
Sony A6000,6,53190,good,0,7800
Sony FX2,0,2002,very_good,0,82490
Sony ZV E10,1,1418,very_good,0,17690
Sony FX2,1,1249,excellent,1,75200
Sony FX30,0,2306,excellent,0,45690
Sony A6500,8,88419,fair,1,15590
Sony ZV1F,1,1306,very_good,1,10990
Sony A7S,5,77397,fair,0,7190
Sony FX3,2,3563,very_good,0,103500
Sony A7V,1,16345,excellent,1,77100
Sony ZV1F,2,1406,excellent,0,9690
Sony FX3,2,2310,very_good,0,103390
Sony A7R,3,32515,very_good,1,10490
Sony A7SIII,1,2076,very_good,1,63400
Sony A7RV,2,182666,poor,1,80200
Sony A9II,0,192697,fair,0,71100
Sony A7RIII,4,106207,fair,0,22090
Sony FX3,3,2122,excellent,1,102890
Sony A9,7,9702,good,1,30790
